Name,Description,Tactics,Type,Tier,Diff,Bonus,Attack,Distance,Damage,Effect,Major,Severe,HP,Stress,Experiences,Feature1,Action1,Text1,Quote1,Feature2,Action2,Text2,Quote2,Feature3,Action3,Text3,Quote3,Feature4,Action4,Text4,Quote4,Feature5,Action5,Text5,Quote5,Feature6,Action6,Text6,Quote6,Feature7,Action7,Text7,Quote7
Acid Burrower,A horse-sized insect with digging claws and acidic blood.,"Burrow, Drag Away, Feed, Reposition",Solo,1,14,3,Claws,Very Close,2d8+5,phy,8,15,7,3,Tremor Sense +2,Relentless (2),Passive,This adversary may activate twice in a GM move.,“They move with incredible speed.”,Earth Eruption,Action,"Mark a Stress to have this adversary burst out of the ground, causing anyone within Very Close to make an Agility (14) reaction roll or be knocked over and Vulnerable until they next act.",“They burrow themselves deep and explode out from under you.”,Spit Acid,Action,"Make an attack against all targets in front of the Acid Burrower within Close range. On a success, deal 2d6+3 phy damage and make their armor score is halved until the next time they repair it.",“The acid starts to eat away at your armor.”,Acid Bath,Reaction,"When this adversary takes Severe damage, all targets within Close range are bathed in its acidic blood, dealing 2d8+5 phy damage (armor is half as effective against this damage). This splash covers the ground within a Very Close distance with acid blood, and any movement through it by another creature automatically deals 1d6 damage.","“As you strike them, you’re covered in their cold, corrosive blood.”",,,,,,,,,,,,
Archer Guards,Tall guards bearing a longbow and quiver with arrows fletched in the settlement’s colors.,"Close Gates, Pin Down, Arrest, Make it Through the Day",Ranged,1,10,1,Longbow,Far,1d8+7,phy,4,8,3,2,Local Knowledge +3,Hobbling Shot,Action,"Make an attack against a target in Far range. On a success, mark a Stress to deal 2d8+5 phy damage and give the target disadvantage on all Agility rolls until they clear at least one marked HP.","“An arrow pierces your leg, knocking you to the ground mid-stride.”",,,,,,,,,,,,,,,,,,,,,,,,
Bear,A large beast with thick fur and powerful claws.,"Climb, Defend Territory, Pummel, Track",Bruiser,1,14,1,Claws,Melee,2d8+5,phy,9,17,7,2,"Keen Senses +2, Ambusher +3",Overwhelming Force,Passive,Creatures that mark HP from this creature’s Claws attack are knocked out of melee.,“The flurry of claws send you flying backwards.”,Bite,Action,"Mark a Stress to make a bite attack against a target in melee. On a success, deal 3d4+10 damage and make them Restrained. They can escape on a Strength roll.","“A powerful bite clamps down onto you, keeping you from moving.”",,,,,,,,,,,,,,,,,,,,
Bladed Guards,Armored guards bearing a sword and shield painted in the settlement’s colors.,"Arrest, Close Gates, Pin Down, Make it Through the Day",Standard,1,12,1,Longsword,Melee,2d6+3,phy,5,9,5,2,Local Knowledge +3,Shield Wall,Passive,The difficulty to move through anywhere within Close range around this adversary is increased by 1 for each Bladed Guard within melee range of one another.,“The line of guards in an immovable wall of stubbornness and armor.”,Detain,Action,"Make an attack against a target within Very Close range. On a success, mark a Stress to make the target Restrained. They can break free on a successful attack against the adversary or on a Strength or Finesse roll.",“They hold you with an iron grip and begin to lead you away.”,,,,,,,,,,,,,,,,,,,,
Brawny Zombie,"A large corpse, decay-bloated and angry.","Destruction, Crush, Slam, Hail Debris",Bruiser,1,10,2,Slam,Very Close,2d12,phy,8,15,7,4,"Throw +4, Collateral Damage +2",Slow (2),Passive,It takes 2 action tokens to activate this adversary.,“A lumbering figure moves towards you in the darkness.”,Rip & Tear,Reaction,"On a successful attack in melee, mark a Stress to make the target Restrained and force them to mark 2 Stress (in addition to normal damage).",“The zombie grabs you and holds fast. You need to escape before it tears you apart.”,Rend Asunder,Action,"When the Brawny Zombie has a target Restrained, make an attack with advantage. On a success, armor cannot be used against this damage.","“The zombie pulls on your limbs, trying to tear you apart like an angry child with a doll.”",,,,,,,,,,,,,,,,
Cave Ogre,A massive humanoid who sees all sapient life as food.,"Throw Enemies, Bite Off Heads, Feast, Rip Limbs, Stomp",Solo,1,15,1,Club,Melee,2d8+5,phy,8,15,6,3,Throw +2,Bone Breaker,Passive,"When a PC uses an Armor Slot to reduce incoming damage from the Cave Ogre, it is only half as effective.",“The ogre can shatter armor as easily as break bones.”,Rampaging Fury,Reaction,"When this creature takes Major or Severe Damage, they rampage. Move them to somewhere within Close range and deal 2d6+3 direct physical damage to anyone they would cross through to get there.","“Enraged by your attack, the enemy charges forward.”",Hail of Boulders,Action (2),Mark a Stress to pick up heavy objects and throw them at all targets in front of the ogre up to Far range. Make an attack roll against these targets. Any you succeed against take 3d4+12 phy damage.,"“A boulder flies towards you, too large and too fast to run from.”",,,,,,,,,,,,,,,,
Construct,A roughly humanoid being of stone and steel assembled and animated by magic.,"Serve Creator, Smash Target, Destroy Environment, Trample Groups",Solo,1,13,4,Fist Slam,Melee,2d6+3,phy,7,15,9,4,,Shifting Amalgamation,Passive,Physical damage dealt to the Construct does +1 Hit Points.,“The creature’s shifting form is vulnerable to the bolts of your crossbow.”,Overload,Reaction,Mark a Stress to add +10 to a damage roll this adversary makes. Construct may then activate again.,"“The construct swells with arcane energy, powering itself up.”",Trample,Action,"When this adversary moves during an activation, mark a Stress to make an attack against all targets in its path. On a success, deal 2d6+5 physical damage.","“They run towards you with reckless abandon, stomping everything in their path.”",Death Quake,Reaction,"When this creature marks its last Hit Point, the magic powering it ruptures in an explosion of force. Make an attack against all targets within Very Close range with advantage. On a success, deal 2d4+8 magic damage.","“As it falls, the magic within ruptures and explodes.”",,,,,,,,,,,,
Courtier,An ambitious and ostentatiously dressed socialite.,"Discredit, Gain Favor, Maneuver, Scheme",Social,1,9,-4,Dagger,Melee,1d4+2,phy,4,8,2,4,Socialite +5,Mockery,Action,"Mark a Stress to say something mocking and force a target within Close range to make a Presence Reaction Roll (14) to see if they can save face. If they fail, they mark 2 Stress and are Vulnerable for the remainder of the scene.","“Was that song written out of tune, or do you just play it that way?”",Scapegoat,Action,Spend a Fear and choose a PC as the target. The courtier convinces a crowd or prominent individual that this target is the cause of their current conflict or misfortune.,"“From across the hall, you see a finger, bedecked in fine rings, pointing at you.”",,,,,,,,,,,,,,,,,,,,
Deeproot Defender,A burly vegetable-person with grasping vines,"Ambush, Grab, Protect, Pummel",Bruiser,1,10,2,Vines,Close,2d8+7,phy,8,14,7,3,Huge +3,Ground Slam,Action,"Slam the ground, knocking any targets within Very Close range into Far range. Each character knocked back this way marks Stress.","“Their fists slam to the ground, and the shockwave sends you flying.”",Grab and Drag,Action,"Make an attack roll against a close target. On a success, spend a Fear to pull them into melee, deal 2d8+3 phy damage, and make them Restrained. This condition ends the next time the bruiser takes Severe Damage.","“They reach out with their vines and ensnare you, pulling you in.”",,,,,,,,,,,,,,,,,,,,
Dire Wolf,"A large wolf with menacing teeth, seldom encountered alone.","Defend Territory, Harry, Protect Pack, Surround, Trail",Skulk,1,12,2,Claws,Melee,2d6+3,phy,5,9,4,2,Keen Senses +3,Pack Tactics,Passive,"When making a Claws attack, if another Dire Wolf is also in melee range of the target, deal 2d6+8 phy damage instead.","“When they work in packs, they’re more bold, more vicious.”",Hobbling Strike,Action,"Make an attack against a target in melee range. On a success, mark a Stress to deal 3d4+10 phy damage and make them Vulnerable until they heal a Hit Point.","“With a snarl, they lunge at you, sinking their teeth in deep.”",,,,,,,,,,,,,,,,,,,,
Giant Mosquitos,"Dozens of fist-sized mosquitoes, flying together for protection.","Harass, Steal Blood, Fly Away",Horde (5/HP),1,10,-2,Proboscis,Melee,2d8+5,phy,5,9,6,3,Camouflage +2,Flying,Passive,Cannot be targeted by effects that impact balance or the ground. +2 Difficulty when at least a Very Close distance off the ground.,“The swarm nimbly maneuvers around your blows.”,Bloodsucker,Reaction,Mark Stress when an attack by Giant Mosquitos causes a character to mark HP. They must mark +1 HP.,,Horde 2d4+2,Passive,"If Giant Mosquito swarm has marked half or more of their HP, they deal 2d4+2 phy damage instead of their normal damage.",,,,,,,,,,,,,,,,,
Giant Rat,A cat-sized rodent skilled at scavenging and survival.,"Burrow, Scavenge, Hunger, Wear Down",Minion,1,10,-4,Claws,Melee,3,phy,,,1,1,Keen Senses +3,Minion (3),Passive,"This adversary is defeated if they take any damage. For every 3 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action (2),"Choose a target and activate all Giant Rats within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 3 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,
Giant Scorpion,A human-sized insect with tearing claws and a stinging tail.,"Ambush, Feed, Grapple, Poison",Bruiser,1,13,1,Pincers,Melee,2d8+5,phy,7,13,6,3,Camouflage +2,Double Strike,Action,"Mark a Stress to make a Pincers attack against two targets within range. On a success, deal 2d8+5 phy damage to each.",“Their massive claws strike out at both of you.”,Venomous Stinger,Action,"Make an attack against a target within Very Close range. On a success, spend a Fear to deal 3d4+10 phy damage and Envenomate them. While Envenomated, before they make an action roll, they must roll a d6. If the result is a 4 or below, they mark a stress. Envenomated clears at their next short rest or on a successful Knowledge (16) roll.",“You feel the hot venom rush through your veins.”,,,,,,,,,,,,,,,,,,,,
Glass Snake,A clear serpent with a head the size of a human that leaves behind a glass shard trail wherever it goes.,"Climb, Feed, Keep Distance, Scare",Standard,1,14,2,Glass Fangs,Very Close,1d8+5,phy,6,10,5,3,,Armor Shredding Shards,Passive,Any successful melee attacks against this creature also mark an armor slot on the attacker.,"“Though the strike hits true, its glass scales shred your armor.”",Spinning Serpent,Action,Mark a Stress to make an attack against all targets within Very Close range. Any target hit takes 1d8+5 phy damage.,"“It spins violently, its sharp body striking in every direction.”",Spitter,Action,"Spend a Fear to introduce a Spitter d6 die. Anytime the Glass Snake activates, roll this die. On a 5+, all targets in front of the snake within Far range must succeed on an Agility Reaction Roll or take 2d6+3 damage. This does not use the snake’s activation.",“Hundreds of shards of pearlescent glass spiral towards you.”,,,,,,,,,,,,,,,,
Green Ooze,A moving mound of translucent green slime.,"Creep up, Envelop, Camouflage, Consume & Multiply",Skulk,1,8,1,Ooze Appendage,Melee,1d6+2,mag,5,10,5,2,Camouflage +3,Slow (2),Passive,The GM must spend two tokens to activate this adversary.,"“They take a moment to react, and you can tell they’re not as quick as you are.”",Acidic Form,Passive,Any successful melee attacks this creature makes also marks an Armor Slot on the target. This doesn’t reduce any damage.,"“The residue eats away at your armor, corroding it slowly.”",Envelop,Action,"Make an attack against a target in melee. On a success, envelop them, immediately dealing 2 Stress. Every time an action token is placed on the tracker, deal an additional Stress. They will break free the next time the ooze takes Severe damage.","“The ooze encircles you, drawing you into its gelatinous form.”",Split,Reaction,"When this adversary marks its 3rd Hit Point, spend a Fear to split it into two Tiny Green Oozes (with no marked Hit Points or Stress). They may immediately activate without spending tokens.",“You watch as the damage you’ve done splits it in half… becoming two oozes instead of one.”,,,,,,,,,,,,
Harrier,A nimble fighter armed with javelins.,"Harry, Kite, Flank, Profit",Standard,1,12,1,Javelin,Close,1d8+7,phy,5,9,3,3,Camouflage +2,Maintain Distance,Passive,"After making an attack, Harrier may move anywhere within Far range.","“They move with purpose across the battlefield, away from the fray.”",Fall Back,Reaction,"When a PC moves into melee to make an attack, Harrier may mark a Stress before the attack roll to move anywhere within Close range and make a Javelin attack on them. A success deals 1d8+7 phy damage.","“They won’t let you get close, instead turning an attack back on you.”",,,,,,,,,,,,,,,,,,,,
Head Guard,"A seasoned guard with a mace, whistle, and a bellowing voice.","Command, Close Gates, Pin Down, Arrest, Seek Glory",Leader,1,15,4,Mace,Melee,2d6+8,phy,7,13,7,2,"Commander +2, Local Knowledge +2",Rally Guards,Action,"Fear Spend a Fear to activate Head Guard and up to 2d4 allies with Far range, without spending additional action tokens.",,On My Signal,Reaction,"Countdown (5) Activate when this creature sees any number of hostile targets. It ticks down anytime a PC makes an attack roll. When triggered, all Archer Guards within Far range fire at their nearest target with advantage. If any hit the same target, add their damage together.","“With the wave of a hand, a rain of arrows falls down upon you.”",,,,,,,,,,,,,,,,,,,,
Jagged Knife Bandit,A cunning criminal in a heavy cloak bearing one of the gang’s iconic knives.,"Escape, Profit, Throw Smoke",Standard,1,12,1,Daggers,Melee,2d6+3,phy,8,14,5,3,Bandit +2,Climber,Passive,This adversary can climb just as easily as they can run.,“They get to higher ground.”,From Above,Action,"Make an attack from above a target. On a success, deal 3d4+10 physical damage.",“They drop in from above and take no mercy.”,,,,,,,,,,,,,,,,,,,,
Jagged Knife Hexer,"A staff-wielding bandit in a cloak, adorned with magical paraphernalia, using curses to vex their foes.","Command, Hex, Profit, Warp",Support,1,13,2,Staff,Far,1d8+5,mag,5,9,4,4,Magical Knowledge +2,Curse,Action,"Target a creature within Far range and make them Cursed. While Cursed, on any rolls made with Hope, this adversary can mark a Stress to make it with Fear instead.","“A wave of nausea passes over you, as you realize you’ve been cursed.”",Chaotic Flux,Action,Make an attack against up to three targets within Very Close range. Mark a Stress to deal 2d6+3 magic damage to any you are successful against.,“They unleash a flurry of writhing magic in all directions.”,,,,,,,,,,,,,,,,,,,,
Jagged Knife Kneebreaker,An imposing brawler carrying a large club.,"Intimidate, Grapple, Profit, Steal",Bruiser,1,12,-3,Club,Melee,3d4+10,phy,7,14,7,4,"Bandit +2, Unveiled Threats +3",I’ve Got ‘Em,Passive,Characters Restrained by this adversary take double damage from attacks by other adversaries in the scene.,“They have you pinned and you know that’s bad news.”,Hold Them Down,Action,"Make an attack against a target in melee. On a success, they take no damage but are Restrained and Vulnerable. A PC can break free by with Strength (12) roll or are let go automatically when Major damage or higher is dealt to the Bruiser.",“They slam you to the ground with unbelievable strength.”,,,,,,,,,,,,,,,,,,,,
Jagged Knife Lackey,"A commonly-dressed thief with small daggers, eager to prove themselves.","Escape, Profit, Throw Smoke",Minion,1,9,-2,Daggers,Melee,3,phy,,,1,1,Bandit +2,Minion (3),Passive,"This adversary is defeated if they take any damage. For every 3 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action (2),"Choose a target and activate all Jagged Knife Lackeys within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 3 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,
Jagged Knife Lieutenant,A seasoned bandit in quality leathers with a strong voice and cunning eyes.,"Bully, Command, Profit, Reinforce",Leader,1,13,2,Javelin,Close,2d6+8,phy,7,14,6,3,Area Knowledge +2,Tactician,Action,Mark a Stress to activate this adversary and two allies within Close range of them (do not spend additional action tokens for the allies).,"“They give the orders, and they’re followed without hesitation.”",More Where That Came From,Action,"Summon 3 Jagged Knife Lackeys, who appear at Far range.",“You see more trouble headed your way.”,Coup de Grace,Action,"Spend a Fear to make an attack against a Vulnerable target within Close range. If successful, deal 2d6+12 phy damage and force the target to mark a Stress.",“They see you struggling and move to end this.”,,,,,,,,,,,,,,,,
